ID,Text,Region,Context,Surface_Meaning,Intended_Meaning,Intent_Type,Emotion,Emotion_Intensity,Sarcasm,Sarcasm_Intensity,Polarity_Surface,Polarity_Intent,Relation,Customer_Service,Complaint,Escalation_Risk,Explanation,Source
LUB2-V2-0026,أول مرة عيادة تتصل تسأل عن حالتي بعد الزيارة,الوسطى,اتصلت العيادة بالمريض بعد ثلاثة أيام للاطمئنان على استجابته للعلاج,اندهاش,مدح حقيقي للمتابعة,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السلوك غير المعتاد المذكور يبرر الاندهاش ويجعله ثناءً على متابعة فعلية,V2_500
LUB2-V2-0027,أول مرة أشوف موعد يتلغى وأنا داخل باب المستشفى,الشرقية,وصل المراجع للمستشفى فتلقى رسالة إلغاء موعده في نفس اللحظة دون سبب,اندهاش,استنكار ساخر للإلغاء المفاجئ,سخرية,غضب,5,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,مرتفع,نفس صيغة الاندهاش السابقة لكن السياق سلبي فتحولت إلى استنكار حاد,V2_500
LUB2-V2-0028,التحويل للمستشفى التخصصي تم بسرعة وتابعوا معي لين ما ثبت الموعد,الشمالية,أنهى قسم التحويلات إجراءات المريض خلال يومين وتابع حتى تأكيد الموعد,مدح,شكر حقيقي,شكر,ارتياح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المتابعة حتى النهاية واقعة محددة تجعل المدح مبنيًا على أداء ملموس,V2_500
LUB2-V2-0029,كل زيارة يقولون التحاليل سليمة وأنا للحين تعبان,الجنوبية,راجع المريض ثلاث مرات بنفس الأعراض وتُعاد له التحاليل دون تشخيص واضح,وصف للوضع,شكوى من عدم الوصول لتشخيص,شكوى,إحباط,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,الشكوى تتعلق بجمود المسار التشخيصي وليست اعتراضًا على موظف بعينه,V2_500
LUB2-V2-0030,ودي أشكر الفني اللي شرح لي نتيجة الأشعة بهدوء وأنا خايفة,الحجازية,كانت المريضة قلقة فطمأنها فني الأشعة وشرح لها الإجراء قبل البدء,شكر,شكر حقيقي,شكر,امتنان,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السياق العاطفي المذكور يفسر عمق الشكر ويربطه بسلوك إنساني محدد,V2_500
LUB2-V2-0031,الحمد لله، الفاتورة طلعت أغلى من المتوقع بثلاث أضعاف,الوسطى,تفاجأ مريض بفاتورة تجاوزت التقدير الذي أُعطي له قبل الإجراء بثلاثة أضعاف,حمد,تهكم واعتراض على الفاتورة,سخرية,صدمة,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,صيغة الحمد الإيجابية تسبق واقعة مالية صادمة مما يقلب المعنى لاعتراض ساخر,V2_500
LUB2-V2-0032,الحمد لله، الفاتورة طلعت أقل من المتوقع بعد الخصم,الشرقية,طُبق خصم على فاتورة المريض بعد مراجعة قسم الحسابات لبنودها,حمد,ارتياح حقيقي,رضا,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,نفس افتتاحية الحالة السابقة لكن النتيجة إيجابية فبقيت العبارة على معناها الحرفي,V2_500
LUB2-V2-0033,أرجو مراجعة بند في الفاتورة، محسوب علي فحص ما تم,الشمالية,وجد المريض في فاتورته رسوم فحص لم يُجر له فعليًا وطلب مراجعتها,اعتراض,اعتراض مالي هادئ,شكوى,حياد,2,لا,0,محايد,سلبي,مرتبط,نعم,نعم,منخفض,الاعتراض مصاغ بلغة رسمية هادئة ويستند لواقعة محددة قابلة للتحقق,V2_500
LUB2-V2-0034,أنا أقدر ضغط الطوارئ، بس حالة والدتي ما تحتمل انتظار,الجنوبية,تنتظر عائلة في طوارئ مزدحمة وحالة الوالدة تتدهور تدريجيًا,تفهم مع طلب,طلب عاجل مع تفهم حقيقي,طلب,قلق,5,لا,0,محايد,سلبي,مرتبط,نعم,لا,مرتفع,التفهم صادق لكن الحالة الصحية العاجلة ترفع الشحنة العاطفية وخطر التصعيد,V2_500
LUB2-V2-0035,التطبيق الصحي سهل كثير، حجزت وألغيت وأعدت الجدولة بدون اتصال,الحجازية,استخدم المستفيد تطبيق المواعيد وأدار حجوزاته بالكامل ذاتيًا,مدح,رضا حقيقي,رضا,رضا,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المنفعة الوظيفية محددة وواضحة مما يجعل الثناء واقعيًا ومباشرًا,V2_500
LUB2-V2-0036,التطبيق سهل كثير، بس يحتاج ست محاولات لين يفتح,الوسطى,يحاول المستخدم فتح التطبيق الصحي وتظهر له رسالة خطأ في كل مرة,مدح,تهكم على العطل التقني,سخرية,انزعاج,3,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,متوسط,الشطر الثاني ينقض المدح مباشرة مما يكشف أن الجملة انتقاد لا ثناء,V2_500
LUB2-V2-0037,ما قصرت الممرضة، جت تطمن علي مرتين بالليل,الشرقية,مرت الممرضة على المريضة مرتين خلال الوردية الليلية للاطمئنان عليها,مدح,شكر حقيقي,شكر,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السلوك المذكور محدد ومتكرر مما يجعل الثناء موثقًا بواقعة لا بانطباع عام,V2_500
LUB2-V2-0038,ما قصروا معي، ضغطت الجرس ساعتين وما جا أحد,الشمالية,ضغط المريض جرس الاستدعاء عدة مرات خلال ساعتين دون استجابة من الطاقم,مدح,لوم ساخر على الإهمال,سخرية,استياء,5,نعم,5,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,عبارة المدح تتناقض مع واقعة الإهمال الموصوفة فتصبح أداة لوم لاذعة,V2_500
LUB2-V2-0039,ممكن تحولوني لطبيبة بدل طبيب لو تكرمتم,الجنوبية,تطلب مريضة تغيير الطبيب المعالج لأسباب شخصية عند الحجز,طلب,طلب محايد مشروع,طلب,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,طلب تنظيمي بسيط بلا شحنة عاطفية ولا اعتراض على الخدمة,V2_500
LUB2-V2-0040,أنا ما أشتكي من العلاج، أشتكي من طريقة الكلام,الحجازية,تلقى المريض علاجًا صحيحًا لكن الطبيب تحدث معه بنبرة فيها استخفاف,توضيح,شكوى محددة عن أسلوب التعامل,شكوى,استياء,4,لا,0,محايد,سلبي,مرتبط,نعم,نعم,متوسط,الجملة تفصل بدقة بين الجانب الفني والجانب الإنساني وهو تمييز مهم في تحليل الشكاوى,V2_500
LUB2-V2-0041,صرت أعرف كل موظفي الاستقبال بالاسم من كثر ما أراجع,الوسطى,راجع المريض العيادة تسع مرات خلال شهرين لنفس المشكلة دون حل,تعليق,شكوى ساخرة من تكرار المراجعات,سخرية,إحباط,4,نعم,3,محايد,سلبي,غير مرتبط,نعم,نعم,متوسط,المبالغة في وصف الألفة مع الموظفين أسلوب تهكمي يبرز كثرة الزيارات بلا نتيجة,V2_500
LUB2-V2-0042,شكرًا على التذكير برسالة قبل الموعد بيوم، ساعدني كثير,الشرقية,أرسل النظام تذكيرًا للمريض قبل موعده بيوم فتمكن من ترتيب وقته,شكر,شكر حقيقي,شكر,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الفائدة التنظيمية المذكورة تجعل الشكر مبنيًا على أثر عملي واضح,V2_500
LUB2-V2-0043,أنا مستعد أدفع، بس أبي أعرف على وش بالضبط,الشمالية,طُلب من المريض دفع مبلغ إضافي بدون تفصيل للبنود المستحقة,استعداد مشروط,طلب شفافية مالية,استفسار,ارتباك,3,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,الجملة لا ترفض الدفع بل تطلب وضوحًا مما يجعل المقصد محايدًا لا شكوى,V2_500
LUB2-V2-0044,الله يعينكم، كل يوم أشوفكم بنفس الابتسامة مع كل هالضغط,الجنوبية,يراجع مريض مزمن القسم أسبوعيًا ويلاحظ ثبات تعامل الطاقم رغم الازدحام,دعاء,مدح حقيقي وتقدير,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السياق يوضح ملاحظة متكررة على سلوك إيجابي فالدعاء تعبير عن تقدير صادق,V2_500
LUB2-V2-0045,الله يعينكم على النظام، واضح إنه يشتغل ضدكم مو معكم,الحجازية,لاحظ المراجع معاناة الموظف مع نظام بطيء يعطله عن إنهاء المعاملات,دعاء,انتقاد للنظام مع تعاطف مع الموظف,شكوى,تعاطف,3,لا,0,محايد,سلبي,مرتبط جزئيًا,نعم,نعم,منخفض,التعاطف مع الموظف حقيقي والنقد موجه للنظام لا للأشخاص,V2_500
LUB2-V2-0046,أبي أغير مركز الرعاية الأولية، الحالي بعيد عن سكني الجديد,الوسطى,انتقل المستفيد لحي آخر ويريد نقل ملفه لمركز أقرب,طلب,طلب إجرائي محايد,طلب,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,طلب واقعي مبرر بظرف حياتي ولا يحمل أي اعتراض على الخدمة,V2_500
LUB2-V2-0047,قالوا لي الجهاز معطل، وهذا نفس الجواب من السنة الماضية,الشرقية,حضر المريض لفحص مجدول فأُبلغ بعطل الجهاز وهو نفس السبب في زيارته السابقة,إبلاغ,شكوى من تكرار العطل,شكوى,خيبة أمل,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الإشارة للتكرار السنوي تحول الشكوى من حادثة فردية إلى اتهام بإهمال الصيانة,V2_500
LUB2-V2-0048,خلصت كل الإجراءات في زيارة وحدة، ما توقعت,الشمالية,أنجز المستفيد الفحص والتحليل وصرف الدواء في زيارة واحدة منظمة,اندهاش إيجابي,رضا حقيقي,رضا,فرح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,كفاءة الإجراء المذكورة واقعية ومحددة مما يجعل الرضا صادقًا,V2_500
LUB2-V2-0049,أنا آسف إني أتصل كثير، بس ما فيه أحد يعطيني جواب واضح,الجنوبية,اتصل المريض خمس مرات خلال ثلاثة أيام وتلقى إجابات متضاربة في كل مرة,اعتذار,شكوى من تضارب المعلومات,شكوى,نفاد صبر,4,لا,0,محايد,سلبي,مرتبط جزئيًا,نعم,نعم,متوسط,الاعتذار تلطيف اجتماعي بينما جوهر الرسالة شكوى من غياب إجابة موحدة,V2_500
LUB2-V2-0050,أعتذر إني سألت عن تكلفة العلاج,الحجازية,سأل المريض عن التكلفة قبل الإجراء فرد عليه الموظف بنبرة استنكار,اعتذار,احتجاج ساخر على أسلوب الرد,سخرية,انزعاج,4,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,متوسط,صيغة الاعتذار مقلوبة وتستخدم للاعتراض على استنكار سؤال مشروع,V2_500
LUB2-V2-0051,الفريق الطبي اجتمع معنا وشرح كل الخيارات قبل القرار,الوسطى,عقد الفريق جلسة مع أسرة المريض لشرح البدائل العلاجية ومخاطر كل منها,مدح,تقدير حقيقي للشفافية,مدح,تقدير,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السلوك المهني الموصوف مفصل وواقعي مما يجعل التقدير مبنيًا على ممارسة ملموسة,V2_500
LUB2-V2-0052,ودي بس أفهم ليش تحولت لثلاث أقسام وكلهم يقولون مو تخصصنا,الشرقية,تنقل المراجع بين ثلاثة أقسام في نفس اليوم وكل قسم يحيله لغيره,استفسار,شكوى من غياب التنسيق,شكوى,إحباط,4,لا,0,محايد,سلبي,مرتبط,نعم,نعم,مرتفع,السؤال ليس معلوماتيًا بل احتجاج على تنقل عبثي يعكس خللًا تنظيميًا,V2_500
LUB2-V2-0053,أنا مرتاح للتشخيص بس بأخذ رأي ثاني عشان أطمن,الشمالية,شرح الطبيب التشخيص بوضوح والمريض يريد رأيًا استشاريًا إضافيًا للاطمئنان فقط,إعلان قرار,قرار شخصي بلا اعتراض,قبول,قلق,2,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,الجملة لا تحمل تشكيكًا في الطبيب بل حرصًا شخصيًا مشروعًا,V2_500
LUB2-V2-0054,شكرًا لكم، غيرتوا لي الموعد لأقرب فرصة لما عرفتوا ظرفي,الجنوبية,أوضح المريض ظرفه الطارئ فقدم القسم موعده لليوم التالي بدل الشهر القادم,شكر,شكر حقيقي,شكر,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الاستجابة الاستثنائية للظرف تفسر الدرجة المرتفعة من الامتنان,V2_500
LUB2-V2-0055,كل التعليمات اللي أعطوني إياها مكتوبة ومرتبة، ما احتجت أسأل,الحجازية,خرج المريض من العملية ومعه ورقة إرشادات واضحة غطت كل استفساراته المتوقعة,مدح,رضا حقيقي,رضا,ارتياح,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,انتفاء الحاجة للسؤال دليل عملي على جودة التعليمات مما يدعم صدق التقييم,V2_500
LUB2-V2-0056,أبي أرفع شكوى رسمية على طريقة التعامل في القسم,الوسطى,تعرض المراجع لتعامل غير لائق من موظف ووثق الواقعة بالتاريخ والوقت,إعلان تصعيد,تصعيد رسمي صريح,تحذير,غضب,5,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الجملة إعلان صريح بالتصعيد وتوثيق الواقعة يزيد من جديتها,V2_500
LUB2-V2-0057,أقترح تضيفون شاشة توضح ترتيب الدور في صالة الانتظار,الشرقية,لاحظ المراجع أن غياب شاشة العرض يسبب تزاحمًا وارتباكًا وقدم اقتراحًا,اقتراح,اقتراح بنّاء,اقتراح,حياد,2,لا,0,محايد,إيجابي,مرتبط,نعم,لا,منخفض,الاقتراح ناتج عن ملاحظة واقعية لكنه مصاغ بلغة تحسينية لا احتجاجية,V2_500
LUB2-V2-0058,الحمد لله على العافية، الفحوصات كلها طلعت سليمة,الشمالية,تلقت المريضة نتائج فحوصات شاملة سليمة بعد فترة قلق,حمد وفرح,ارتياح حقيقي,رضا,ارتياح,5,لا,0,إيجابي,إيجابي,مرتبط,لا,لا,منخفض,الخبر إيجابي بوضوح والسياق يزيل أي احتمال لقراءة ساخرة,V2_500
LUB2-V2-0059,ثلاث أيام أحاول أوصل للعيادة والخط دايم مشغول,الجنوبية,يحاول المريض الاتصال لتعديل موعده ولا يجد ردًا على الخط الوحيد المتاح,وصف للوضع,شكوى من صعوبة الوصول,شكوى,نفاد صبر,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,سرد وقائعي يوثق تعذر الوصول عبر القناة الوحيدة المتاحة,V2_500
LUB2-V2-0060,جربت الرقم الجديد للحجز وكان الرد خلال دقيقة,الحجازية,أطلق المركز رقمًا موحدًا للحجز وجربه المستفيد فكان الرد سريعًا,إبلاغ إيجابي,مدح حقيقي,مدح,رضا,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,التجربة الفعلية مع القناة الجديدة تدعم التقييم الإيجابي بشكل مباشر,V2_500
LUB2-V2-0061,أنا مو دكتور بس أعرف إن هالجرعة كثيرة على طفل عمره سنتين,الوسطى,لاحظ ولي أمر أن الجرعة المكتوبة تبدو مرتفعة جدًا لعمر طفله وراجع الصيدلي,تحفظ,تنبيه لخطأ محتمل مع قلق,تحذير,قلق,4,لا,0,محايد,سلبي,مرتبط,نعم,لا,متوسط,الجملة تحفظ مبني على منطق واضح وتستدعي مراجعة فورية لا مجرد شكوى,V2_500
LUB2-V2-0062,شكرًا للطبيب إنه اعترف إنه يحتاج يراجع الحالة مع استشاري,الشرقية,لم يجزم الطبيب بالتشخيص وأحال الحالة لاستشاري بدل التخمين,شكر,تقدير حقيقي للأمانة المهنية,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,التقدير موجه لسلوك مهني محدد وهو الاعتراف بحدود المعرفة لا للنتيجة,V2_500
LUB2-V2-0063,كل شي تمام بس المواقف بعيدة على المرضى كبار السن,الشمالية,لاحظ مرافق أن أقرب موقف يبعد مسافة طويلة عن مدخل العيادة,ملاحظة,ملاحظة بنّاءة مع نقد جزئي,اقتراح,حياد,2,لا,0,محايد,محايد,مرتبط جزئيًا,نعم,لا,منخفض,التقييم العام إيجابي مع ملاحظة تشغيلية محددة فالقطبية الكلية محايدة,V2_500
LUB2-V2-0064,بصراحة تعبت من كثر ما أشرح حالتي لكل دكتور جديد,الجنوبية,تغير الطبيب المعالج للمريضة أربع مرات خلال ستة أشهر بسبب دوران الكادر,تعبير عن التعب,شكوى من عدم استمرارية الرعاية,شكوى,إحباط,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,التصريح بالتعب مع ذكر السبب يجعل الشكوى مؤسسية لا شخصية,V2_500
